Date,GPRI,,,,
01/10/13,72.95,,,,
02/10/13,73.95,,,,
03/10/13,74.95,,,,
01/01/14,77.92,,,,
01/02/14,69,,,,
01/03/14,119.84,,,,
01/04/14,93.22,,,,
01/05/14,83.43,,,,
01/06/14,98.77,,,,
01/07/14,138.75,,,,
01/08/14,136.45,,,,
01/09/14,131.56,,,,
01/10/14,83.66,,,,
01/11/14,84.38,,,,
01/12/14,86.53,,,,
01/01/15,111.99,,,,
01/02/15,111.92,,,,
01/03/15,104.24,,,,
01/04/15,102.19,,,,
01/05/15,76.26,,,,
01/06/15,85.91,,,,
01/07/15,106.81,,,,
01/08/15,82.48,,,,
01/09/15,98.77,,,,
01/10/15,91.93,,,,
01/11/15,150.72,,,,
01/12/15,148.24,,,,
01/01/16,118.21,,,,
01/02/16,103.75,,,,
01/03/16,109.72,,,,
01/04/16,85.22,,,,
01/05/16,88.33,,,,
01/06/16,90.17,,,,
01/07/16,114.61,,,,
01/08/16,98.74,,,,
01/09/16,104.55,,,,
01/10/16,85.75,,,,
01/11/16,82.92,,,,
01/12/16,102.18,,,,
01/01/17,105.2,,,,
01/02/17,114.21,,,,
01/03/17,96.64,,,,
01/04/17,119.46,,,,
01/05/17,102.58,,,,
01/06/17,126.79,,,,
01/07/17,102.81,,,,
01/08/17,138.53,,,,
01/09/17,115.53,,,,
01/10/17,91.46,,,,
01/11/17,92.6,,,,
01/12/17,82.72,,,,
01/01/18,92.43,,,,
01/02/18,64.49,,,,
01/03/18,111.96,,,,
01/04/18,123.26,,,,
01/05/18,125.67,,,,
01/06/18,103.97,,,,
01/07/18,110.03,,,,
01/08/18,112.74,,,,
01/09/18,75.05,,,,
01/10/18,92.02,,,,
01/11/18,80.41,,,,
01/12/18,90.61,,,,
01/01/19,87.42,,,,
01/02/19,96.8,,,,
01/03/19,82.33,,,,
01/04/19,79.25,,,,
01/05/19,106.47,,,,
01/06/19,106.59,,,,
01/07/19,93.52,,,,
01/08/19,103.4,,,,
01/09/19,90.37,,,,
01/10/19,97.84,,,,
01/11/19,73.08,,,,
01/12/19,74.28,,,,
01/01/20,138.42,,,,
01/02/20,75.96,,,,
01/03/20,81.54,,,,
01/04/20,69.34,,,,
01/05/20,68.51,,,,
01/06/20,71.23,,,,
01/07/20,66.47,,,,
01/08/20,65.47,,,,
01/09/20,80.38,,,,
01/10/20,76.08,,,,
01/11/20,70.07,,,,
01/12/20,64.07,,,,
01/01/21,78.42,,,,
01/02/21,74.36,,,,
01/03/21,79.94,,,,
01/04/21,90.58,,,,
01/05/21,94.02,,,,
01/06/21,75.58,,,,
01/07/21,60.6,,,,
01/08/21,90.61,,,,
01/09/21,81.63,,,,
01/10/21,80.95,,,,
01/11/21,89.14,,,,
01/12/21,108.53,,,,
01/01/22,141.17,,,,
01/02/22,219.23,,,,
01/03/22,325.55,,,,
01/04/22,194.81,,,,
01/05/22,144.68,,,,
01/06/22,134.9,,,,
01/07/22,118.99,,,,
01/08/22,135.08,,,,
01/09/22,134.03,,,,
01/10/22,145.9,,,,
01/11/22,118.78,,,,
01/12/22,113.96,,,,
01/01/23,105.73,,,,
01/02/23,127.32,,,,
01/03/23,109.86,,,,
01/04/23,110.06,,,,
01/05/23,109.35,,,,
01/06/23,114.55,,,,
01/07/23,108.06,,,,
01/08/23,105.15,,,,
01/09/23,93.9,,,,